# 本シナリオは完全に架空のものです
# 実際の警察・消防・その他機関の運用とは一切関係ありません

section,id,condition,probability,phase,message,params
# ==========================================
# パラメータ定義
# ==========================================
PARAM,directions,,,,,北;南;東;西;北東;北西;南東;南西
PARAM,vehicles,,,,,白いセダン;黒いワンボックス;銀色の軽自動車;赤いスポーツカー;青いSUV;グレーのミニバン
PARAM,zones,,,,,1丁目;2丁目;3丁目;みなと通り;幹線12号;湾岸23号;商業地区
PARAM,units_investigation,,,,,捜査301;捜査302;捜査303;捜査304
PARAM,units_traffic,,,,,交通201;交通202;交通203;交通204
PARAM,units_patrol,,,,,巡回101;巡回102;巡回103;巡回104
PARAM,units_backup,,,,,中央201;中央202;中央203;中央204;中央205;中央206
# ==========================================
# シナリオ定義
# ==========================================

4.0,交通違反,,,,,type=traffic;level=1
  1.0,通報受理,"{commander}から{unit}。{zone}で{type_ja}の110番が入っている。現場確認するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。{zone}に向かいます。到着予定は{#eta:2-8}分後です",
      1.0,現着・状況報告,"{unit}から{commander}、現場到着しました。{状況確認中です/対象車両を確認しました/違反車両を停止させました}",
        0.75,処理完了,"{unit}から{commander}、{処理完了しました/違反切符を交付しました}。これより巡回に戻ります。以上、{unit}",
        0.25,無免許運転発覚,"{unit}から{commander}、対象車両の運転手、無免許運転でした。これより逮捕します",
          1.0,逮捕・護送,"{unit}から{commander}、被疑者を{#directions}署へ連行します。以上、{unit}",

4.0,駐車違反,,,,,type=traffic;level=1
  1.0,通報受理,"{commander}から{unit}。{zone}付近で{type_ja}の通報が入っている。状況確認するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。現場へ向かいます",
      1.0,現着・状況報告,"{unit}から{commander}、現場到着しました。{違反車両を確認しました/駐車禁止区域に車両があります}",
        1.0,処理完了,"{unit}から{commander}、{標章貼付完了しました/取り締まり完了しました}。以上、{unit}",

4.0,巡回警戒,,,,,type=patrol;level=1
  1.0,指令,"{commander}から{unit}。{zone}周辺の巡回を強化するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。{zone}へ向かいます",
      0.8,巡回報告,"{unit}から{commander}、{zone}周辺、巡回中です。{異常ありません/特異事項ありません}",
        1.0,巡回完了,"{unit}から{commander}、巡回終了しました。待機状態に戻ります。以上、{unit}",
      0.2,不審者発見,"{unit}から{commander}、{zone}で不審者を発見しました。これより職質を実施します",
